470008,DRR169038
622303,DRR277134
465099,DRR311751
183989,DRR345795
587623,ERR15320369
408488,ERR6286734
937243,SRR10523768
1092099,SRR10527303
72445,SRR10995811
1052,SRR12539558
846165,SRR13051591
94416,SRR13164554
144572,SRR13169467
144969,SRR13169468
123439,SRR13518267
111926,SRR13523349
150875,SRR13528008
245708,SRR13557739
150447,SRR13580929
273505,SRR13785539
1073107,SRR14354747
7795095,SRR14809834
158130,SRR14872363
308162,SRR17651134
149309,SRR23490783
247194,SRR23562283
395228,SRR23562286
566742,SRR29118782
0,SRR2921281
786299,SRR31412042
167529,SRR4113502
266358,SRR426837
35594,SRR5140107
47198,SRR5140130
197410,SRR5140144
640733,SRR5198727
160920,SRR5832119
356856,SRR6327827
108705,SRR6516776
81135,SRR6818896
54388,SRR7594090
670879,SRR8486073
4540539,SRR8755479
